Aggregate rating,Restaurant ID,Country Code,City,Locality,Locality Verbose,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Restaurant_Name_Length,Name_Word_Count,Name_Has_Number,Name_Uppercase_Ratio,Address_Length,Address_Word_Count,Has_Any_Service,Service_Count,City_Freq_Encoded,Country Code_Freq_Encoded,Cuisines_Freq_Encoded,Rating_Category,High_Rating,Location_Density,Distance_From_Center,Price_Rating_Interaction,Cuisine_Count,Has_North_Indian,Has_Chinese,Has_Fast_Food,Has_Mughlai,Has_Italian
3.2,6600970,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.91566667,-15.83116667,50,Brazilian Real(R$),0,0,No,No,2,3.2,Orange,Average,11,14,3,0,1.0,45,9,0,0,20,60,53.0,Average,0,1,132.00356658878923,6.4,1.0,0,0,0,0,0
3.1,6600379,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.91566667,-15.831,80,Brazilian Real(R$),0,0,No,No,3,3.1,Orange,Average,10,10,2,0,1.0,45,9,0,0,20,60,17.0,Average,0,1,132.003520598216,9.3,1.0,0,0,0,0,0
3.7,6600214,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.9075,-15.82,90,Brazilian Real(R$),0,0,No,No,3,3.7,Yellow,Good,8,7,1,0,1.0,46,9,0,0,20,60,1.0,Good,0,1,131.99263594553298,11.100000000000001,1.0,0,0,0,0,0
3.7,6601218,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.91016667,-15.82733333,200,Brazilian Real(R$),0,0,No,No,4,3.7,Yellow,Good,5,8,2,0,1.0,45,9,0,0,20,60,17.0,Good,0,1,131.99722237636382,14.8,1.0,0,0,0,0,0
0.0,6600060,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.89016667,-15.797,30,Brazilian Real(R$),0,0,No,No,1,0.0,White,Not rated,2,14,2,0,1.0,67,12,0,0,20,60,1.0,,0,1,131.96963124171208,0.0,2.0,0,0,0,0,0
4.1,6600083,30,Bras�_lia,Asa Sul,"Asa Sul, Bras�_lia",-47.92366667,-15.83133333,150,Brazilian Real(R$),0,0,No,No,4,4.1,Green,Very Good,12,12,2,0,1.0,44,9,0,0,20,60,54.0,Excellent,1,1,132.01130199491243,16.4,1.0,0,0,0,0,1
3.1,6601515,30,Bras�_lia,�guas Claras,"�guas Claras, Bras�_lia",-48.019,-15.83716667,100,Brazilian Real(R$),0,0,No,No,4,3.1,Orange,Average,9,8,1,0,1.0,45,8,0,0,20,60,53.0,Average,0,1,132.10454562178137,12.4,1.0,0,0,0,0,0
3.6,6601361,30,Bras�_lia,�guas Claras,"�guas Claras, Bras�_lia",-48.01909167,-15.839775,60,Brazilian Real(R$),0,0,No,No,3,3.6,Yellow,Good,9,11,2,0,1.0,59,8,0,0,20,60,2.0,Good,0,1,132.10535306737412,10.8,2.0,0,0,0,0,0
4.3,6601602,30,Bras�_lia,�guas Claras,"�guas Claras, Bras�_lia",-48.01666667,-15.83483333,100,Brazilian Real(R$),0,0,No,No,4,4.3,Green,Very Good,29,8,2,0,1.0,72,10,0,0,20,60,1.0,Excellent,1,1,132.10165930932092,17.2,2.0,0,0,0,0,0
4.2,6601589,30,Bras�_lia,"Bras�_lia Shopping, Asa Norte","Bras�_lia Shopping, Asa Norte, Bras�_lia",-47.889,-15.7865,230,Brazilian Real(R$),0,0,No,No,4,4.2,Green,Very Good,17,10,2,0,1.0,65,12,0,0,20,60,6.0,Excellent,1,1,131.96561478525382,16.8,1.0,0,0,0,0,0
3.6,6601862,30,Bras�_lia,Lago Sul,"Lago Sul, Bras�_lia",-47.872359,-15.860621,100,Brazilian Real(R$),0,0,No,No,4,3.6,Yellow,Good,5,6,1,0,1.0,64,12,0,0,20,60,1.0,Good,0,1,131.97007405153687,14.4,2.0,0,0,0,0,0
4.0,6601595,30,Bras�_lia,"ParkShopping, Guar�� I","ParkShopping, Guar�� I, Bras�_lia",-47.95628333,-15.83451389,150,Brazilian Real(R$),0,0,No,No,4,4.0,Green,Very Good,10,18,2,0,1.0,61,10,0,0,20,60,1.0,Good,1,1,132.04353018747165,16.0,2.0,0,0,0,0,0
3.2,6601158,30,Bras�_lia,"Pont��o Lago Sul, Lago Sul","Pont��o Lago Sul, Lago Sul, Bras�_lia",-47.87283333,-15.82566667,240,Brazilian Real(R$),0,0,No,No,4,3.2,Orange,Average,6,7,1,0,1.0,54,10,0,0,20,60,14.0,Average,0,1,131.96087874064338,12.8,1.0,0,0,0,0,0
4.9,6600427,30,Bras�_lia,Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Bras�_lia",-47.8685,-15.819,230,Brazilian Real(R$),0,0,No,No,4,4.9,Dark Green,Excellent,30,10,2,0,1.0,73,11,0,0,20,60,6.0,Excellent,1,1,131.95487390486946,19.6,1.0,0,0,0,0,0
3.3,6600116,30,Bras�_lia,"Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Bras�_lia",-47.885812,-15.720118,350,Brazilian Real(R$),0,0,No,No,4,3.3,Orange,Average,8,4,1,0,1.0,68,13,0,0,20,60,54.0,Average,0,1,131.94426517964345,13.2,1.0,0,0,0,0,1
3.6,6601457,30,Bras�_lia,Sudoeste,"Sudoeste, Bras�_lia",-47.92102778,-15.79753056,50,Brazilian Real(R$),0,0,No,No,2,3.6,Yellow,Good,9,26,3,0,1.0,47,8,0,0,20,60,13.0,Good,0,1,131.99944238727426,7.2,2.0,0,0,0,0,0
4.0,7303219,30,Rio de Janeiro,Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,140,Brazilian Real(R$),0,0,No,No,4,4.0,Green,Very Good,7,21,3,0,1.0,88,16,0,0,20,60,1.0,Good,1,1,129.8786533617053,16.0,3.0,0,0,0,0,0
4.8,7304307,30,Rio de Janeiro,Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,100,Brazilian Real(R$),0,0,No,No,4,4.8,Dark Green,Excellent,29,19,2,0,1.0,47,8,0,0,20,60,3.0,Excellent,1,1,129.65632889401553,19.2,2.0,0,0,0,0,0
4.7,7301215,30,Rio de Janeiro,Copacabana,"Copacabana, Rio de Janeiro",-43.18669167,-22.97207222,60,Brazilian Real(R$),0,0,No,No,3,4.7,Dark Green,Excellent,24,4,1,0,1.0,45,8,0,0,20,60,2.0,Excellent,1,1,129.6861567565045,14.100000000000001,2.0,0,0,0,0,0
4.5,7300596,30,Rio de Janeiro,Copacabana,"Copacabana, Rio de Janeiro",-43.17583333,-22.96216667,90,Brazilian Real(R$),0,0,No,No,3,4.5,Dark Green,Excellent,29,9,1,0,1.0,55,9,0,0,20,60,1.0,Excellent,1,1,129.67260196676733,13.5,3.0,0,0,1,0,0
4.2,7300612,30,Rio de Janeiro,Copacabana,"Copacabana, Rio de Janeiro",-43.176,-22.96516667,170,Brazilian Real(R$),0,0,No,No,4,4.2,Green,Very Good,11,4,1,0,1.0,54,9,0,0,20,60,9.0,Excellent,1,1,129.67376665611607,16.8,1.0,0,0,0,0,0
4.8,7300704,30,Rio de Janeiro,"Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,60,Brazilian Real(R$),0,0,No,No,3,4.8,Dark Green,Excellent,19,9,2,0,1.0,69,10,0,0,20,60,6.0,Excellent,1,1,129.6951740449013,14.399999999999999,1.0,0,0,0,0,0
4.9,7300955,30,Rio de Janeiro,G��vea,"G��vea, Rio de Janeiro",-43.227042,-22.973507,100,Brazilian Real(R$),0,0,No,No,4,4.9,Dark Green,Excellent,40,18,3,0,1.0,49,8,0,0,20,60,4.0,Excellent,1,1,129.7246447354712,19.6,2.0,0,0,0,0,0
4.6,7300521,30,Rio de Janeiro,Ipanema,"Ipanema, Rio de Janeiro",-43.211425,-22.98520833,90,Brazilian Real(R$),0,0,No,No,3,4.6,Dark Green,Excellent,21,10,2,0,1.0,53,9,0,0,20,60,1.0,Excellent,1,1,129.713865644503,13.799999999999999,4.0,0,0,0,0,0
4.9,7300515,30,Rio de Janeiro,Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,120,Brazilian Real(R$),0,0,No,No,4,4.9,Dark Green,Excellent,49,17,3,0,1.0,51,9,0,0,20,60,4.0,Excellent,1,1,129.70597237131085,19.6,2.0,0,0,0,0,0
4.6,7300483,30,Rio de Janeiro,Ipanema,"Ipanema, Rio de Janeiro",-43.20520833,-22.98531944,170,Brazilian Real(R$),0,0,No,No,4,4.6,Dark Green,Excellent,21,22,3,0,1.0,48,8,0,0,20,60,9.0,Excellent,1,1,129.70804766198015,18.4,1.0,0,0,0,0,0
4.3,7301064,30,Rio de Janeiro,Lagoa,"Lagoa, Rio de Janeiro",-43.219563,-22.966647,90,Brazilian Real(R$),0,0,No,No,3,4.3,Green,Very Good,14,13,3,0,1.0,66,10,0,0,20,60,9.0,Excellent,1,1,129.71529630504946,12.899999999999999,1.0,0,0,0,0,0
4.0,7304312,30,Rio de Janeiro,"Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.34879167,-22.99991111,150,Brazilian Real(R$),0,0,No,No,4,4.0,Green,Very Good,5,16,2,0,1.0,90,16,0,0,20,60,54.0,Good,1,1,129.84819154992903,16.0,1.0,0,0,0,0,1
4.6,7300004,30,Rio de Janeiro,Leblon,"Leblon, Rio de Janeiro",-43.227,-22.98416667,250,Brazilian Real(R$),0,0,No,No,4,4.6,Dark Green,Excellent,25,12,2,0,1.0,46,8,0,0,20,60,17.0,Excellent,1,1,129.72818554777638,18.4,1.0,0,0,0,0,0
4.4,7300868,30,Rio de Janeiro,Leblon,"Leblon, Rio de Janeiro",-43.22566667,-22.98516667,120,Brazilian Real(R$),0,0,No,No,4,4.4,Green,Very Good,13,14,2,0,1.0,67,13,0,0,20,60,1.0,Excellent,1,1,129.7272656194937,17.6,3.0,0,0,0,0,0
4.2,7302637,30,Rio de Janeiro,Leme,"Leme, Rio de Janeiro",-43.17279167,-22.963925,40,Brazilian Real(R$),0,0,No,No,2,4.2,Green,Very Good,7,10,2,0,1.0,46,8,0,0,20,60,9.0,Excellent,1,1,129.67032765960735,8.4,1.0,0,0,0,0,0
4.2,7302140,30,Rio de Janeiro,Leme,"Leme, Rio de Janeiro",-43.17126389,-22.96337222,250,Brazilian Real(R$),0,0,No,No,4,4.2,Green,Very Good,8,7,1,0,1.0,46,8,0,0,20,60,1.0,Excellent,1,1,129.6687029683249,16.8,2.0,0,0,0,0,0
0.0,7305048,30,Rio de Janeiro,Madureira,"Madureira, Rio de Janeiro",-43.341164,-22.870413,70,Brazilian Real(R$),0,0,No,No,3,0.0,White,Not rated,1,21,3,0,1.0,97,16,0,0,20,60,2.0,,0,1,129.7975854544023,0.0,2.0,0,0,0,0,0
4.7,7302898,30,Rio de Janeiro,Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.18736944,-22.92481389,300,Brazilian Real(R$),0,0,No,No,4,4.7,Dark Green,Excellent,44,10,1,0,1.0,48,8,0,0,20,60,9.0,Excellent,1,1,129.6709272561075,18.8,1.0,0,0,0,0,0
4.6,7302859,30,Rio de Janeiro,Tijuca,"Tijuca, Rio de Janeiro",-43.21551111,-22.91370833,85,Brazilian Real(R$),0,0,No,No,3,4.6,Dark Green,Excellent,24,17,2,0,1.0,51,9,0,0,20,60,4.0,Excellent,1,1,129.69371118507453,13.799999999999999,2.0,0,0,0,0,0
